*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=fambasic
*Date=23:21:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;32.1464;-18.0969;-90;Bottom;TXT14
2;;;14.3826;-48.7363;-90;Bottom;TXT5
3;;;76.6454;-28.4233;-90;Bottom;TXT14
4;;;68.8755;-35.2825;0;Top;Pad3
5;;;16.9131;-28.4354;-90;Bottom;TXT14
6;;;79.2419;-28.4239;-90;Bottom;TXT5
7;;THT;69.1921;-3.98841;0;Bottom;J5
8;;;58.7458;-50.0682;0;Bottom;TXT6
9;;;70.9586;-49.6293;-90;Bottom;TXT14
10;;;37.2347;-58.7252;-90;Bottom;TXT14
11;;;11.786;-62.2288;-90;Bottom;TXT14
12;;;11.8378;-48.6787;-90;Bottom;TXT14
13;100nF;100 mil [THT, multilayer];69.5174;-38.9783;0;Bottom;C3
14;;;16.8082;-69.4233;0;Bottom;TXT6
15;;;66.3738;-33.0359;0;Bottom;TXT6
16;;;61.6899;-50.2535;0;Bottom;Via63
17;;;44.8511;-38.7941;-90;Bottom;TXT14
18;;;78.5786;-49.5353;-90;Bottom;TXT14
19;;;65.8597;-45.6655;-90;Bottom;TXT14
20;;;14.2132;-67.8993;0;Top;Pad10
21;;;47.5771;-50.2732;0;Bottom;Via71
22;;;86.8525;-28.7486;-90;Bottom;TXT14
23;;;86.9929;-8.93965;0;Bottom;TXT2
24;;;90.4743;-17.6873;0;Bottom;Via5
25;;;65.8597;-49.1031;-90;Bottom;TXT14
26;;;11.7861;-38.8583;-90;Bottom;TXT5
27;;;27.0261;-28.8078;-90;Bottom;TXT14
28;;;10.3051;-69.9567;0;Bottom;TXT17
29;;;74.1457;-18.0848;-90;Bottom;TXT14
30;;;86.8056;-18.0848;-90;Bottom;TXT14
31;;;9.31208;-61.8867;-90;Bottom;TXT5
32;;;71.386;-33.4279;0;Bottom;TXT6
33;;;58.723;-37.9217;0;Bottom;TXT6
34;;;94.0915;-40.1711;0;Bottom;VCC
35;;;16.7532;-67.8993;0;Top;Pad9
36;;;16.8708;-48.6787;-90;Bottom;TXT14
37;;;68.3873;-49.5822;-90;Bottom;TXT14
38;;;73.3054;-40.9336;0;Bottom;TXT12
39;;;51.9826;-41.1205;0;Bottom;Via52
40;;;53.6256;-45.6861;0;Top;Pad17
41;;;58.9125;-28.4233;-90;Bottom;TXT14
42;;;21.9508;-49.0511;-90;Bottom;TXT14
43;;;29.5661;-18.1373;-90;Bottom;TXT14
44;;;76.0699;-49.5667;-90;Bottom;TXT14
45;;;39.773;-28.8078;-90;Bottom;TXT14
46;220;THT;31.0124;-72.556;0;Bottom;R4
47;;;32.1147;-58.2713;-90;Bottom;TXT14
48;;;66.3355;-35.2825;0;Top;Pad2
49;;;21.9104;-38.3402;-90;Bottom;TXT14
50;;;56.3571;-18.5507;-90;Bottom;TXT5
51;;;39.7778;-49.0039;-90;Bottom;TXT14
52;;THT;69.192;-3.98839;180;Top;J3
53;;;58.8971;-18.5507;-90;Bottom;TXT5
54;;;19.2932;-67.8993;0;Top;Pad8
55;;;75.2458;-32.9843;0;Bottom;TXT6
56;;;53.6256;-48.7434;0;Top;Pad14
57;;THT;69.192;-3.98839;180;Bottom;J8
58;;;57.4416;-27.2727;0;Bottom;Via15
59;;;39.731;-38.3402;-90;Bottom;TXT14
60;;;56.1656;-39.583;0;Top;Pad25
61;;;64.5615;-48.7396;0;Bottom;Via62
62;;THT;69.1921;-3.98841;0;Top;J4
63;;;34.6057;-18.0969;-90;Bottom;TXT14
64;;;47.3863;-18.0969;-90;Bottom;TXT14
65;;;6.19005;-12.7422;0;Bottom;GND
66;;;11.8038;-18.5647;-90;Bottom;TXT14
67;;;9.30813;-58.2713;-90;Bottom;TXT14
68;;;56.1656;-45.6861;0;Top;Pad18
69;;;24.4457;-18.0969;-90;Bottom;TXT14
70;;;53.6356;-37.9434;0;Bottom;TXT6
71;100nF;100 mil [THT, multilayer];5.33256;-71.5964;180;Bottom;C5
72;;;63.905;-18.0848;-90;Bottom;TXT14
73;;;56.1656;-51.7773;0;Top;Pad12
74;;;81.1561;-46.1116;-90;Bottom;TXT14
75;;;76.556;-27.9884;0;Bottom;Via2
76;;;29.6131;-62.2288;-90;Bottom;TXT14
77;;;56.2047;-34.1738;0;Bottom;TXT6
78;;;87.0922;-40.1476;0;Bottom;Hole2
79;;;51.9673;-42.6405;0;Bottom;Via68
80;;;11.754;-58.2713;-90;Bottom;TXT14
81;;;53.6256;-51.7773;0;Top;Pad11
82;;;81.1186;-49.5667;-90;Bottom;TXT14
83;;;61.4054;-18.5387;-90;Bottom;TXT14
84;;;27.0711;-38.3402;-90;Bottom;TXT14
85;;;61.6924;-48.7551;0;Bottom;Via64
86;;;58.7193;-44.0205;0;Bottom;TXT6
87;;;44.853;-28.7607;-90;Bottom;TXT14
88;;;6.74433;-61.8915;-90;Bottom;TXT5
89;;;5.31285;-61.7591;0;Bottom;Via47
90;;;34.6977;-49.0511;-90;Bottom;TXT14
91;;THT;31.0921;-3.98839;180;Top;J2
92;;;27.0731;-62.2288;-90;Bottom;TXT14
93;;;50.8385;-41.8878;0;Bottom;Via69
94;100nF;100 mil [THT, multilayer];85.0244;-48.0196;-90;Bottom;C1
95;;;49.9263;-18.5509;-90;Bottom;TXT14
96;;;47.1721;-43.7412;0;Bottom;GND
97;;;72.7079;-24.2501;0;Bottom;Via17
98;;;42.3111;-38.3402;-90;Bottom;TXT14
99;;;45.9444;-45.7165;0;Bottom;#WE
100;;;21.9057;-18.0969;-90;Bottom;TXT14
101;100nF;100 mil [THT, multilayer];5.34199;-74.4139;180;Bottom;C4
102;;;49.7166;-38.4165;0;Bottom;VCC
103;;;53.6256;-39.583;0;Top;Pad22
104;;;45.9069;-10.1612;0;Bottom;Via29
105;;;24.5425;-61.8571;-90;Bottom;TXT5
106;220;THT;31.0148;-75.1148;0;Bottom;R5
107;;DIP (Dual Inline) [THT];30.1963;-82.1327;-90;Bottom;IC1
108;;;79.1856;-18.0444;-90;Bottom;TXT14
